fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-08,13:45,Bournemouth vs Lincoln,,,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,93.4%,0.934400,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,94.44,94.436000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,10Bet,,Local corners -6.5,CORNERS_HOME UNDER.6.5,CORNERS_HOME:UNDER_6_5,92.7%,0.926700,1.08,1.77,0.64,0.640300,0.69,1.64,,,,,,EV positivo,No encontrado en Betano,Valor,4,120.20,120.198000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Local tarjetas +0.5,CARDS_HOME OVER.0.5,CARDS_HOME:OVER_0_5,92.6%,0.925700,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,93.57,93.573000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,90.6%,0.906300,1.10,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,102.63,102.626000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,
2026-09-08,13:45,Bournemouth vs Lincoln,10Bet,,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,88.5%,0.885300,1.13,1.60,0.42,0.416500,0.47,1.42,,,,,,EV positivo,No encontrado en Betano,Seguro,10,147.03,147.032000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,87.9%,0.878600,1.14,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,93.86,93.865000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,10Bet,,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,FIRST_HALF_TOTALS:OVER_0_5,86.8%,0.868300,1.15,2.88,1.50,1.500800,1.73,2.50,,,,,,EV positivo,No encontrado en Betano,Valor,5,123.83,123.834000,Cuota API muy superior a la cuota justa: revisar manualmente antes de apostar,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,
2026-09-08,13:45,Bournemouth vs Lincoln,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,86.8%,0.867600,1.15,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,87.75,87.755000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,CORNERS_TOTALS:UNDER_11_5,85.3%,0.852900,1.17,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,113.29,113.290000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,84.6%,0.845600,1.18,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,96.56,96.558000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Local corners -5.5,CORNERS_HOME UNDER.5.5,CORNERS_HOME:UNDER_5_5,84.4%,0.844100,1.19,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,98.41,98.412000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,83.5%,0.835100,1.20,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,84.50,84.505000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,DOUBLE_CHANCE:12,80.9%,0.809400,1.24,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,121.94,121.939000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,CARDS_AWAY:UNDER_2_5,80.9%,0.808800,1.24,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,81.89,81.885000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,DOUBLE_CHANCE 1X,DOUBLE_CHANCE 1X,DOUBLE_CHANCE:1X,79.2%,0.792500,1.26,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,120.25,120.248000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,78.4%,0.783800,1.28,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,92.38,92.377000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,77.7%,0.776900,1.29,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,78.69,78.687000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Tarjetas total +2.5,CARDS_TOTALS OVER.2.5,CARDS_TOTALS:OVER_2_5,77.6%,0.776200,1.29,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,83.62,83.619000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,76.9%,0.769300,1.30,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,82.93,82.931000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,depende mucho del arbitro y del contexto competitivo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Corners total -10.5,CORNERS_TOTALS UNDER.10.5,CORNERS_TOTALS:UNDER_10_5,76.9%,0.768900,1.30,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,104.89,104.886000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,75.1%,0.751100,1.33,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,76.11,76.107000,,Betano no expuesto,Alta,contexto premium mixto,usa mezcla de promedios del torneo y recientes/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,
2026-09-08,13:45,Bournemouth vs Lincoln,10Bet,,DNB local,DRAW_NO_BET HOME,DRAW_NO_BET:HOME,74.4%,0.743600,1.34,1.17,-0.13,-0.130000,-0.17,0.87,,,,,,EV negativo,No encontrado en Betano,Revisar,9,113.02,113.021000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,
2026-09-08,13:45,Bournemouth vs Lincoln,,,Visita goles +0.5,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY:OVER_0_5,74.0%,0.740200,1.35,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,86.02,86.015000,,Betano no expuesto,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,
