fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-13,15:30,Flamengo vs Corinthians,,,Visita tarjetas -1.5,CARDS_AWAY UNDER.1.5,CARDS_AWAY:UNDER_1_5,46.3%,0.462800,2.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,49.28,49.284000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,DOUBLE_CHANCE X2,DOUBLE_CHANCE X2,DOUBLE_CHANCE:X2,46.3%,0.462700,2.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,91.27,91.266000,,Betano no expuesto,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,Corners total +10.5,CORNERS_TOTALS OVER.10.5,CORNERS_TOTALS:OVER_10_5,45.4%,0.454400,2.20,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,75.44,75.444000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,Local tarjetas +0.5,CARDS_HOME OVER.0.5,CARDS_HOME:OVER_0_5,45.1%,0.451200,2.22,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,48.12,48.119000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,Tarjetas total +2.5,CARDS_TOTALS OVER.2.5,CARDS_TOTALS:OVER_2_5,43.0%,0.430300,2.32,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,51.03,51.029000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,Corners total -9.5,CORNERS_TOTALS UNDER.9.5,CORNERS_TOTALS:UNDER_9_5,42.1%,0.421000,2.38,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,72.10,72.100000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,Visita goles -0.5,TEAM_TOTAL_AWAY UNDER.0.5,TEAM_TOTAL_AWAY:UNDER_0_5,39.7%,0.397300,2.52,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,55.73,55.733000,,Betano no expuesto,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,SHOTS_ON_TARGET_TOTAL UNDER.7.5,SHOTS_ON_TARGET_TOTAL UNDER.7.5,SHOTS_ON_TARGET_TOTAL:UNDER_7_5,38.6%,0.385600,2.59,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,41.56,41.560000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,,,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL:UNDER_26_5,38.5%,0.385300,2.60,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,41.53,41.530000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
2026-09-13,15:30,Flamengo vs Corinthians,William Hill,,1T -0.5,FIRST_HALF_TOTALS UNDER.0.5,FIRST_HALF_TOTALS:UNDER_0_5,36.8%,0.367900,2.72,3.00,0.10,0.103600,0.28,1.10,,,,,,EV positivo,No encontrado en Betano,Equilibrado,5,63.65,63.653000,,Betano no expuesto,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,,torneo actual,torneo actual,26,51.0,21.0,2026-09-06 · Serie A · Remo 0-1 Flamengo (G); 2026-09-02 · Serie A · Flamengo 2-0 Mirassol (G); 2026-08-30 · Serie A · Flamengo 3-0 Botafogo (G); 2026-08-22 · Serie A · Cruzeiro 2-1 Flamengo (P); 2026-08-16 · Serie A · Mirassol 1-5 Flamengo (G),torneo actual,26,27.0,27.0,2026-09-06 · Serie A · Corinthians 1-2 Chapecoense-sc (P); 2026-08-30 · Serie A · Corinthians 0-1 Santos (P); 2026-08-23 · Serie A · Coritiba 2-1 Corinthians (P); 2026-08-16 · Serie A · Corinthians 1-2 Cruzeiro (P); 2026-08-09 · Serie A · RB Bragantino 0-2 Corinthians (G)
