fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-07,11:30,Cagliari vs Lecce,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,98.8%,0.988400,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,101.84,101.841000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,96.8%,0.967900,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,99.79,99.793000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,96.0%,0.959500,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.95,111.950000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,93.5%,0.934700,1.07,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,109.47,109.471000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL:OVER_22_5,92.6%,0.925700,1.08,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,95.58,95.575000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,CORNERS_TOTALS:UNDER_11_5,92.1%,0.920800,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,122.08,122.076000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Local corners -6.5,CORNERS_HOME UNDER.6.5,CORNERS_HOME:UNDER_6_5,88.9%,0.889300,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,104.93,104.933000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,88.9%,0.889300,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,96.93,96.933000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Local tarjetas +0.5,CARDS_HOME OVER.0.5,CARDS_HOME:OVER_0_5,86.5%,0.864700,1.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,89.47,89.466000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
2026-09-07,11:30,Cagliari vs Lecce,,,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,86.5%,0.864700,1.16,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,89.47,89.466000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cagliari-calcio-us-lecce/91322789/
