fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-07-04,12:00,Canada vs Morocco,10Bet,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,99.8%,0.998200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,99.2%,0.991600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,98.6%,0.985600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,97.3%,0.972600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,92.2%,0.922000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Visita tarjetas -1.5,CARDS_AWAY UNDER.1.5,91.0%,0.909800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,89.9%,0.899200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-04,12:00,Canada vs Morocco,10Bet,Local corners +3.5,CORNERS_HOME OVER.3.5,89.6%,0.896500,1.70,0.52,0.524000,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-04,12:00,Canada vs Morocco,10Bet,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,88.9%,0.889300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-04,12:00,Canada vs Morocco,10Bet,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY UNDER.2.5,86.9%,0.868500,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-04,12:00,Canada vs Morocco,10Bet,Corners total +7.5,CORNERS_TOTALS OVER.7.5,83.1%,0.830900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
