fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-11,19:00,Cusco vs FBC Melgar,,,Corners total +11.5,CORNERS_TOTALS OVER.11.5,CORNERS_TOTALS:OVER_11_5,16.0%,0.160000,6.25,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,46.00,45.999000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,Tarjetas total +5.5,CARDS_TOTALS OVER.5.5,CARDS_TOTALS:OVER_5_5,15.6%,0.155900,6.42,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,23.59,23.588000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,SHOTS_TOTAL UNDER.24.5,SHOTS_TOTAL UNDER.24.5,SHOTS_TOTAL:UNDER_24_5,14.9%,0.148900,6.72,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,17.89,17.889000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,SHOTS_ON_TARGET_TOTAL UNDER.6.5,SHOTS_ON_TARGET_TOTAL UNDER.6.5,SHOTS_ON_TARGET_TOTAL:UNDER_6_5,11.8%,0.118000,8.47,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,14.80,14.803000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,Local corners +6.5,CORNERS_HOME OVER.6.5,CORNERS_HOME:OVER_6_5,11.1%,0.110700,9.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,27.07,27.067000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,Local tarjetas +3.5,CARDS_HOME OVER.3.5,CARDS_HOME:OVER_3_5,10.9%,0.108700,9.20,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,13.87,13.871000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,Visita tarjetas +3.5,CARDS_AWAY OVER.3.5,CARDS_AWAY:OVER_3_5,10.9%,0.108700,9.20,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,13.87,13.871000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL:UNDER_22_5,7.5%,0.075500,13.25,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,10.55,10.548000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,Tarjetas total +6.5,CARDS_TOTALS OVER.6.5,CARDS_TOTALS:OVER_6_5,7.3%,0.073300,13.65,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,15.33,15.327000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
2026-09-11,19:00,Cusco vs FBC Melgar,,,SHOTS_TOTAL UNDER.20.5,SHOTS_TOTAL UNDER.20.5,SHOTS_TOTAL:UNDER_20_5,3.3%,0.032700,30.59,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,6.27,6.269000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/cusco-fc-fbc-melgar/91040701/,torneo actual,torneo actual,25,38.0,36.0,2026-09-05 · Primera División · Cusco 2-0 UCV Moquegua (G); 2026-08-30 · Primera División · Cienciano 1-2 Cusco (G); 2026-08-22 · Primera División · Deportivo Garcilaso 4-1 Cusco (P); 2026-08-14 · Primera División · Cusco 2-0 Juan Pablo II College (G); 2026-08-07 · Primera División · Comerciantes Unidos 3-1 Cusco (P),torneo actual,25,43.0,28.0,2026-09-06 · Primera División · FBC Melgar 3-0 ADT (G); 2026-09-01 · Primera División · Atletico Grau 1-0 FBC Melgar (P); 2026-08-23 · Primera División · FBC Melgar 1-1 Alianza Lima (E); 2026-08-15 · Primera División · Club Deportivo Los Chankas 0-3 FBC Melgar (G); 2026-08-09 · Primera División · FBC Melgar 2-4 FC Cajamarca (P)
