fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,99.9%,0.999100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,99.6%,0.995500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Local corners -6.5,CORNERS_HOME UNDER.6.5,98.6%,0.985800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,98.1%,0.981400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Local corners -5.5,CORNERS_HOME UNDER.5.5,95.8%,0.958000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY OVER.0.5,91.7%,0.916800,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME UNDER.2.5,90.5%,0.904500,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Local corners -4.5,CORNERS_HOME UNDER.4.5,89.1%,0.891200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,89.1%,0.891000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.9.5,SHOTS_ON_TARGET_TOTAL UNDER.9.5,87.7%,0.877400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Goles +1.5,TOTALS OVER.1.5,87.1%,0.871200,1.95,0.70,0.698800,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,86.9%,0.869200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,DOUBLE_CHANCE X2,DOUBLE_CHANCE X2,85.5%,0.854900,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,82.8%,0.827700,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,82.6%,0.826200,1.85,0.53,0.528500,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Visita corners +3.5,CORNERS_AWAY OVER.3.5,82.5%,0.825100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,DNB visita,DRAW_NO_BET AWAY,82.5%,0.824700,1.55,0.28,0.278300,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Tarjetas total -2.5,CARDS_TOTALS UNDER.2.5,80.9%,0.808800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,80.9%,0.808800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-30,12:00,Ivory Coast vs Norway,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.8.5,SHOTS_ON_TARGET_TOTAL UNDER.8.5,79.2%,0.791600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
