fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-09,14:00,Chelsea vs Leeds,,,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,98.6%,0.985800,1.01,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,114.58,114.581000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,96.7%,0.966500,1.03,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,104.65,104.649000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,CORNERS_AWAY:UNDER_5_5,95.8%,0.958000,1.04,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,111.80,111.798000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,95.5%,0.955500,1.05,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,98.55,98.554000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,95.0%,0.950200,1.05,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,98.02,98.021000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,92.0%,0.919700,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,107.97,107.970000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,91.6%,0.916100,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,3,99.61,99.608000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,Betano,Local goles -2.5,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME:UNDER_2_5,90.4%,0.904400,1.11,,,,,,1.38,0.25,0.248100,0.27,1.25,Sin cuota/EV,EV positivo Betano,Solo modelo,4,118.41,118.411000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,89.8%,0.898500,1.11,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,92.85,92.853000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
2026-09-09,14:00,Chelsea vs Leeds,,,Visita corners -4.5,CORNERS_AWAY UNDER.4.5,CORNERS_AWAY:UNDER_4_5,89.1%,0.891200,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,105.12,105.118000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/chelsea-fc-leeds-united/91874550/
