fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-09,11:45,Barcelona vs Feyenoord,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,91.4%,0.913900,1.09,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,90.39,90.390000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,89.6%,0.895800,1.12,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,101.58,101.575000,,Betano mapeado,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,Betano,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,CARDS_TOTALS:UNDER_3_5,89.1%,0.891300,1.12,,,,,,1.60,0.43,0.426100,0.48,1.43,Sin cuota/EV,EV positivo Betano,Solo modelo,3,107.95,107.947000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,Betano,Visita goles +0.5,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY:OVER_0_5,85.0%,0.849800,1.18,,,,,,1.78,0.51,0.512600,0.60,1.51,Sin cuota/EV,EV positivo Betano,Solo modelo,4,113.18,113.179000,,Betano mapeado,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL:OVER_7_5,84.5%,0.845100,1.18,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,83.51,83.514000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL:OVER_24_5,83.6%,0.836300,1.20,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,82.63,82.627000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,10Bet,Betano,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,FIRST_HALF_TOTALS:OVER_0_5,82.6%,0.826200,1.21,3.40,1.81,1.809200,2.19,2.81,1.12,-0.07,-0.074700,-0.09,0.93,EV positivo,EV negativo Betano,Valor,5,124.43,124.428000,Cuota API muy superior a la cuota justa: revisar manualmente antes de apostar,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,Visita tarjetas -1.5,CARDS_AWAY UNDER.1.5,CARDS_AWAY:UNDER_1_5,80.9%,0.808800,1.24,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,79.88,79.879000,,Betano mapeado,Alta,contexto premium fallback reciente,usa promedios recientes multi-competicion/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,,,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,DOUBLE_CHANCE:12,80.0%,0.800300,1.25,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,121.03,121.028000,,Betano mapeado,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
2026-09-09,11:45,Barcelona vs Feyenoord,10Bet,,Goles +2.5,TOTALS OVER.2.5,TOTALS:OVER_2_5,78.5%,0.784700,1.27,1.91,0.50,0.498900,0.64,1.50,,,,,,EV positivo,No encontrado en Betano,Seguro,8,128.46,128.455000,,Betano mapeado,Alta,fallback ultimos partidos,usa Poisson fallback con ultimos partidos multi-competicion,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/fc-barcelona-feyenoord-rotterdam/91589045/
