fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-07-07,11:00,Argentina vs Egypt,10Bet,DNB local,DRAW_NO_BET HOME,76.5%,0.764700,1.15,-0.12,-0.120600,EV negativo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-07,11:00,Argentina vs Egypt,10Bet,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,76.1%,0.761400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,75.9%,0.758600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,73.6%,0.736400,3.80,1.80,1.798500,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-07-07,11:00,Argentina vs Egypt,10Bet,TEAM_TOTAL_AWAY UNDER.1.5,TEAM_TOTAL_AWAY UNDER.1.5,73.6%,0.735800,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-07,11:00,Argentina vs Egypt,10Bet,Corners total -8.5,CORNERS_TOTALS UNDER.8.5,72.9%,0.729100,1.77,0.29,0.290500,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.8.5,SHOTS_ON_TARGET_TOTAL UNDER.8.5,72.9%,0.729100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,72.1%,0.721400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-07,11:00,Argentina vs Egypt,10Bet,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,70.2%,0.701800,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,Local corners -3.5,CORNERS_HOME UNDER.3.5,68.5%,0.684500,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME UNDER.2.5,68.2%,0.682300,,,,Sin cuota/EV,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-07,11:00,Argentina vs Egypt,10Bet,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,67.7%,0.676700,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-07,11:00,Argentina vs Egypt,10Bet,Goles -3.5,TOTALS UNDER.3.5,65.2%,0.651900,1.28,-0.17,-0.165500,EV negativo,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-07,11:00,Argentina vs Egypt,10Bet,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY OVER.0.5,63.2%,0.632000,,,,Sin cuota/EV,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-07,11:00,Argentina vs Egypt,10Bet,SHOTS_TOTAL UNDER.24.5,SHOTS_TOTAL UNDER.24.5,62.1%,0.621300,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,1T -1.5,FIRST_HALF_TOTALS UNDER.1.5,61.5%,0.615000,1.22,-0.25,-0.249700,EV negativo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-07-07,11:00,Argentina vs Egypt,10Bet,Gana local,1X2 HOME,60.1%,0.601400,2.50,0.50,0.503400,EV positivo,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-07,11:00,Argentina vs Egypt,10Bet,Corners total -7.5,CORNERS_TOTALS UNDER.7.5,59.9%,0.598700,2.05,0.23,0.227400,EV positivo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.7.5,SHOTS_ON_TARGET_TOTAL UNDER.7.5,59.9%,0.598700,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,Visita corners +3.5,CORNERS_AWAY OVER.3.5,59.8%,0.598400,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,Visita corners -4.5,CORNERS_AWAY UNDER.4.5,59.6%,0.596300,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-07,11:00,Argentina vs Egypt,10Bet,Visita tarjetas +1.5,CARDS_AWAY OVER.1.5,59.4%,0.594000,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
