fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_api,ev_api,ev_api_num,cuota_betano,ev_betano,ev_betano_num,estado_api,estado_betano,confianza,fuente,razon,riesgo,betano_url
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL OVER.18.5,SHOTS_TOTAL:OVER_18_5,97.7%,0.976500,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,CARDS_AWAY:UNDER_3_5,96.6%,0.966200,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,94.1%,0.941000,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,CARDS_TOTALS:UNDER_6_5,92.7%,0.926700,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local tarjetas +0.5,CARDS_HOME OVER.0.5,CARDS_HOME:OVER_0_5,90.9%,0.909300,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,89.3%,0.893100,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,CARDS_AWAY:UNDER_2_5,87.9%,0.879500,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL OVER.22.5,SHOTS_TOTAL:OVER_22_5,87.5%,0.875500,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,10Bet,Betano,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,87.1%,0.871300,1.13,-0.02,-0.015500,,,,EV negativo,No encontrado en Betano,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,87.1%,0.870500,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,CARDS_TOTALS:UNDER_5_5,84.4%,0.844100,,,,1.70,0.43,0.435000,Sin cuota/EV,EV positivo Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,CORNERS_AWAY:UNDER_6_5,83.1%,0.831100,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL OVER.7.5,SHOTS_ON_TARGET_TOTAL:OVER_7_5,81.4%,0.813700,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local corners -6.5,CORNERS_HOME UNDER.6.5,CORNERS_HOME:UNDER_6_5,80.5%,0.804600,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita goles -2.5,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY:UNDER_2_5,80.2%,0.802300,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,DOUBLE_CHANCE:12,78.7%,0.786600,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,CORNERS_TOTALS:UNDER_11_5,78.3%,0.783200,,,,1.40,0.10,0.096500,Sin cuota/EV,EV positivo Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita goles +0.5,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY:OVER_0_5,78.2%,0.782400,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,CARDS_HOME:UNDER_3_5,77.9%,0.778700,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL:OVER_24_5,77.5%,0.774600,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,10Bet,Betano,1T -1.5,FIRST_HALF_TOTALS UNDER.1.5,FIRST_HALF_TOTALS:UNDER_1_5,73.6%,0.735800,1.02,-0.25,-0.249500,1.62,0.19,0.192000,EV negativo,EV positivo Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,DOUBLE_CHANCE 1X,DOUBLE_CHANCE 1X,DOUBLE_CHANCE:1X,71.1%,0.711300,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,SHOTS_ON_TARGET_TOTAL OVER.8.5,SHOTS_ON_TARGET_TOTAL OVER.8.5,SHOTS_ON_TARGET_TOTAL:OVER_8_5,71.0%,0.710400,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,CARDS_TOTALS:UNDER_4_5,70.6%,0.706400,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,CORNERS_AWAY:UNDER_5_5,70.3%,0.702900,,,,,,,Sin cuota/EV,No encontrado en Betano,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Corners total +7.5,CORNERS_TOTALS OVER.7.5,CORNERS_TOTALS:OVER_7_5,69.9%,0.699000,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita tarjetas +0.5,CARDS_AWAY OVER.0.5,CARDS_AWAY:OVER_0_5,69.9%,0.698800,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Tarjetas total +2.5,CARDS_TOTALS OVER.2.5,CARDS_TOTALS:OVER_2_5,69.7%,0.697300,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,10Bet,Betano,Goles +2.5,TOTALS OVER.2.5,TOTALS:OVER_2_5,69.2%,0.692100,1.44,-0.00,-0.003400,1.45,0.00,0.003500,EV negativo,EV positivo Betano,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local tarjetas +1.5,CARDS_HOME OVER.1.5,CARDS_HOME:OVER_1_5,69.2%,0.691600,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local corners +3.5,CORNERS_HOME OVER.3.5,CORNERS_HOME:OVER_3_5,69.0%,0.690300,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Corners total -10.5,CORNERS_TOTALS UNDER.10.5,CORNERS_TOTALS:UNDER_10_5,68.2%,0.682000,,,,1.67,0.14,0.138900,Sin cuota/EV,EV positivo Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,10Bet,Betano,BTTS sí,BTTS YES,BTTS:YES,68.1%,0.681300,4.00,1.73,1.725200,1.87,0.27,0.274000,EV positivo,EV positivo Betano,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local corners -5.5,CORNERS_HOME UNDER.5.5,CORNERS_HOME:UNDER_5_5,66.8%,0.668400,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Local goles -2.5,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME:UNDER_2_5,66.4%,0.664400,,,,1.80,0.20,0.195900,Sin cuota/EV,EV positivo Betano,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita tarjetas -1.5,CARDS_AWAY UNDER.1.5,CARDS_AWAY:UNDER_1_5,66.3%,0.662600,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
2026-08-02,11:00,Sporting Cristal vs Juan Pablo II College,,Betano,Visita corners +3.5,CORNERS_AWAY OVER.3.5,CORNERS_AWAY:OVER_3_5,65.8%,0.657700,,,,,,,Sin cuota/EV,No encontrado en Betano,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/sporting-cristal-adc-juan-pablo-ii-college/89276721/
