fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-07-02,14:00,Spain vs Austria,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,99.6%,0.995500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,99.5%,0.995100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,99.3%,0.993100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,98.3%,0.983400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Visita corners -5.5,CORNERS_AWAY UNDER.5.5,97.7%,0.976700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,Local tarjetas -2.5,CARDS_HOME UNDER.2.5,97.0%,0.969700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,96.0%,0.960300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,Visita tarjetas -3.5,CARDS_AWAY UNDER.3.5,95.3%,0.953500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,94.7%,0.947300,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Visita corners -4.5,CORNERS_AWAY UNDER.4.5,93.1%,0.931100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,Corners total -10.5,CORNERS_TOTALS UNDER.10.5,92.3%,0.923500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY UNDER.2.5,92.0%,0.919700,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-02,14:00,Spain vs Austria,10Bet,Corners total -9.5,CORNERS_TOTALS UNDER.9.5,86.3%,0.862600,1.70,0.47,0.466500,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME OVER.0.5,86.2%,0.861700,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-02,14:00,Spain vs Austria,10Bet,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,85.7%,0.857100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Local tarjetas -1.5,CARDS_HOME UNDER.1.5,85.6%,0.855600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,84.9%,0.849400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-07-02,14:00,Spain vs Austria,10Bet,SHOTS_ON_TARGET_TOTAL UNDER.9.5,SHOTS_ON_TARGET_TOTAL UNDER.9.5,84.7%,0.847000,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,84.2%,0.841500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,Local corners -6.5,CORNERS_HOME UNDER.6.5,83.1%,0.831100,1.65,0.37,0.371200,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,Visita corners -3.5,CORNERS_AWAY UNDER.3.5,82.6%,0.825900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,DOUBLE_CHANCE 1X,DOUBLE_CHANCE 1X,81.5%,0.815000,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-02,14:00,Spain vs Austria,10Bet,Goles +1.5,TOTALS OVER.1.5,79.8%,0.797600,1.95,0.56,0.555400,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-07-02,14:00,Spain vs Austria,10Bet,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,78.6%,0.786400,,,,Sin cuota/EV,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
2026-07-02,14:00,Spain vs Austria,10Bet,Corners total -8.5,CORNERS_TOTALS UNDER.8.5,77.1%,0.771400,2.05,0.58,0.581400,EV positivo,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-07-02,14:00,Spain vs Austria,10Bet,DNB local,DRAW_NO_BET HOME,76.5%,0.764700,1.13,-0.14,-0.135900,EV negativo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo
