fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita corners -4.5,CORNERS_AWAY UNDER.4.5,CORNERS_AWAY:UNDER_4_5,85.5%,0.855400,1.17,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,101.54,101.538000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local goles +0.5,TEAM_TOTAL_HOME OVER.0.5,TEAM_TOTAL_HOME:OVER_0_5,84.9%,0.848800,1.18,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,100.88,100.877000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Corners total -10.5,CORNERS_TOTALS UNDER.10.5,CORNERS_TOTALS:UNDER_10_5,84.0%,0.839900,1.19,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,113.99,113.990000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita goles -1.5,TEAM_TOTAL_AWAY UNDER.1.5,TEAM_TOTAL_AWAY:UNDER_1_5,82.7%,0.826700,1.21,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,98.67,98.667000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,William Hill,Betano,1T -1.5,FIRST_HALF_TOTALS UNDER.1.5,FIRST_HALF_TOTALS:UNDER_1_5,82.7%,0.826600,1.21,1.44,0.19,0.190400,0.23,1.19,1.42,0.17,0.173800,0.21,1.17,EV positivo,EV positivo Betano,Valor,5,123.87,123.872000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,DNB local,DRAW_NO_BET HOME,DRAW_NO_BET:HOME,82.0%,0.819900,1.22,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,126.99,126.986000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,Betano,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,CARDS_TOTALS:UNDER_4_5,81.5%,0.815300,1.23,,,,,,1.57,0.28,0.280000,0.34,1.28,Sin cuota/EV,EV positivo Betano,Solo modelo,3,102.01,102.006000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,DOUBLE_CHANCE 12,DOUBLE_CHANCE 12,DOUBLE_CHANCE:12,78.5%,0.785400,1.27,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,123.54,123.543000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL OVER.20.5,SHOTS_TOTAL:OVER_20_5,77.3%,0.772600,1.29,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,80.26,80.263000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,77.0%,0.769500,1.30,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,79.95,79.949000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
