fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-29,12:00,Brazil vs Japan,10Bet,Tarjetas total -6.5,CARDS_TOTALS UNDER.6.5,99.9%,0.999100,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-29,12:00,Brazil vs Japan,10Bet,Tarjetas total -5.5,CARDS_TOTALS UNDER.5.5,99.6%,0.995500,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-29,12:00,Brazil vs Japan,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,98.1%,0.981400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-29,12:00,Brazil vs Japan,10Bet,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,96.3%,0.962600,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-29,12:00,Brazil vs Japan,10Bet,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-29,12:00,Brazil vs Japan,10Bet,Local tarjetas -3.5,CARDS_HOME UNDER.3.5,93.4%,0.934400,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-29,12:00,Brazil vs Japan,10Bet,SHOTS_TOTAL UNDER.24.5,SHOTS_TOTAL UNDER.24.5,91.4%,0.913900,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-29,12:00,Brazil vs Japan,10Bet,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,91.4%,0.913700,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-29,12:00,Brazil vs Japan,10Bet,Corners total -11.5,CORNERS_TOTALS UNDER.11.5,86.9%,0.869200,,,,Sin cuota/EV,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-29,12:00,Brazil vs Japan,10Bet,Goles +1.5,TOTALS OVER.1.5,85.0%,0.849600,2.15,0.83,0.826600,EV positivo,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
